Wall time,Step,Value
1691998569.9067428,6383,2.918602705001831
1691998570.5409033,6390,2.8650317192077637
1691998572.052865,6407,2.9211277961730957
1691998573.0510888,6418,2.889756679534912
1691998574.0749347,6429,2.894052505493164
1691998574.7194972,6436,2.8101227283477783
1691998575.252123,6442,2.84494948387146
1691998577.4328694,6466,2.892397880554199
1691998582.6398475,6521,2.9390313625335693
1691998583.0182283,6525,2.8524951934814453
1691998584.2361076,6538,2.8533523082733154
1691998585.2859986,6549,2.8688900470733643
1691998585.6844075,6553,2.8392224311828613
1691998586.4220157,6561,2.93927001953125
1691998586.515455,6562,2.8832311630249023
1691998586.8868725,6566,2.8498947620391846
1691998587.7936006,6576,2.917149543762207
1691998588.746368,6586,2.890591859817505
1691998588.8411934,6587,2.884413957595825
1691998588.934999,6588,2.8824872970581055
1691998589.6777718,6596,2.916438579559326
1691998591.610014,6616,2.8820385932922363
1691998593.782308,6640,2.9102783203125
1691998594.4419367,6647,2.8981776237487793
1691998594.7349353,6650,2.938464641571045
1691998595.6587899,6660,2.855825662612915
1691998596.4386666,6669,2.873943328857422
1691998596.705728,6672,2.9304120540618896
1691998597.5719147,6682,2.874545097351074
1691998598.0276017,6687,2.8974051475524902
1691998601.1551766,6723,2.9066295623779297
1691998601.937145,6732,2.857938528060913
1691998602.1147006,6734,2.856860637664795
1691998602.4767134,6738,2.942355155944824
1691998603.0123644,6744,2.919419050216675
1691998603.2892172,6747,2.839705467224121
1691998603.9103825,6754,2.848527193069458
1691998604.6619642,6762,2.876828670501709
1691998605.0018027,6765,2.8686153888702393
1691998605.732199,6773,2.9026641845703125
1691998606.1097653,6777,2.9361844062805176
1691998606.4567654,6781,2.8578944206237793
1691998608.5063663,6804,2.9155726432800293
1691998608.85025,6808,2.901768207550049
1691998609.4880083,6815,2.882854461669922
1691998609.8690083,6819,2.845522165298462
1691998610.8522165,6830,2.9349231719970703
1691998611.9198956,6842,2.9612765312194824
1691998613.3582003,6858,2.886608600616455
1691998615.6136172,6883,2.9495832920074463
1691998616.9465516,6898,2.8350884914398193
